COMID,Longitude,Latitude
8526499,-80.4153,37.4806
8526793,-80.3952,37.4117
8526673,-80.3897,37.4319
8526787,-80.3892,37.4148
8526663,-80.3857,37.4325
8526757,-80.385,37.4202
8526679,-80.3835,37.4316
8526723,-80.3831,37.4269
8526727,-80.3801,37.4233
8526731,-80.3754,37.4235
8526715,-80.3651,37.4307
8526643,-80.3439,37.4427
8526625,-80.3373,37.4468
8526585,-80.3234,37.4553
8526577,-80.3127,37.4611
8524961,-80.222,37.6004
8525387,-80.1767,37.5068
8525335,-80.0778,37.5171
8524507,-80.0571,37.7229
8525201,-80.0335,37.5435
8522747,-79.9921,37.6124
8522761,-79.9795,37.6112
8522673,-79.95,37.6348
8522457,-79.8864,37.684
8523157,-79.8748,37.5184
8523149,-79.8609,37.5218
8522533,-79.8466,37.6592
8522565,-79.8371,37.6467
8523073,-79.837,37.5408
8523033,-79.8331,37.5535
8522561,-79.8231,37.6454
8522555,-79.8155,37.6459
8521855,-79.7349,37.8592
8523653,-79.6821,37.5282
8520555,-79.6076,38.1385
8520745,-79.5851,38.2193
8538385,-79.5654,38.0262
8520731,-79.5506,38.2617
8538381,-79.5353,38.004
8523637,-79.481,37.6188
8539463,-79.465,37.8066
8540063,-79.4444,37.7992
8548799,-79.2826,37.734
8549259,-79.2637,37.5981
8549363,-79.2608,37.5791
8549331,-79.2587,37.584
8549597,-79.2577,37.5378
8549209,-79.2576,37.6188
8549469,-79.2559,37.5653
8546073,-78.9753,37.7021
8567001,-78.6997,38.0153
8566941,-78.6749,38.0297
8566845,-78.6724,38.0592
8566905,-78.6629,38.0385
8566839,-78.6485,38.0605
8566697,-78.6066,38.1232
8566659,-78.5986,38.1443
8566647,-78.5954,38.1586
8566677,-78.5761,38.1347
8566821,-78.5621,38.0683
8566575,-78.5574,38.1983
8566607,-78.5484,38.1616
8566657,-78.5395,38.1471
8566605,-78.5356,38.1594
8545233,-78.5296,37.8212
8566787,-78.5252,38.0791
8567203,-78.5044,38.0954
8545097,-78.4673,37.8275
8566519,-78.4655,38.2015
8567087,-78.4646,38.2443
8566461,-78.4631,38.2298
8566495,-78.4583,38.2215
8545135,-78.4578,37.8202
8566517,-78.4506,38.2048
8566583,-78.434,38.1704
8566649,-78.4033,38.1422
8567603,-78.3136,37.9845
8548179,-78.3123,37.7115
8567915,-78.2998,37.9202
8568183,-78.2264,37.8152
8568263,-78.1761,37.7603
8575861,-78.1555,37.7474
8575903,-78.0898,37.6691
8573975,-77.9731,37.6252
8573955,-77.8773,37.6589
8526677,,
8526853,,
8545655,,
8545741,,
8566493,,
